relation_id,sentence_id,description,is_true,expectation,words,c_start,c_length,p_start,p_length,p_length,features,weights
24158466@5_23-24158466@5_7,24158466@5,James Couper Brash-James Brash,,0.308,"{James,Couper,Brash,was,the,son,of,James,Brash,"","",J.P.,Educated,at,George,Watson,'s,College,and,the,University,of,Edinburgh,"","",Brash,graduated,B.Sc,.}",23,1,7,2,2,"{""INV_BETW_L_[nsubj ccomp prep_of]"",num_words_between_bucket=2,""INV_BETW_[nsubj graduate ccomp son prep_of]"",""INV_BETW_D_[nsubj graduate ccomp son prep_of]""}","{0.24175,-0.104993,0,0}"
22994925@6_0-22994925@6_26,22994925@6,Lance McGrew-Jack Sprague,,0.28,"{McGrew,moved,to,North,Carolina,in,the,early,1990s,and,joined,the,BACE,Motorsports,NASCAR,Busch,Series,team,driven,by,his,future,Hendrick,Motorsports,teammate,"","",Jack,Sprague,.}",0,1,26,2,2,"{dep_path_length>5,num_words_between_bucket=3,people_between_bucket=0,NGRAM_1_[early],NGRAM_1_[move],NGRAM_1_[team]}","{0.845584,-0.728149,0.4248,-0.255467,-0.254605,-0.12365}"
37894578@7_0-37894578@7_12,37894578@7,Julian T. Pinder-Tyler Measom,,0.152,"{Julian,'s,latest,feature,documentary,"","",Jesus,Town,USA,"","",produced,by,Tyler,Measom,-LRB-,An,Honest,Liar,"","",Sons,of,Perdition,"","",Take,-RRB-,"","",was,completed,in,2014,.}",0,1,12,2,2,"{people_between_bucket=0,NGRAM_1_['s],NGRAM_1_[feature],num_words_between_bucket=2,NGRAM_1_[produce],""NGRAM_2_['s latest]""}","{0.4248,-0.275959,-0.178262,-0.104993,-0.0974448,0.0367171}"
1081818@18_0-1081818@18_29,1081818@18,Margo Dydek-David,,0.47,"{Dydek,played,for,Olimpia,Pozna,from,1992,to,1994,"","",before,playing,for,Valenciennes,Orchies,in,France,from,1994,to,1996,"","",where,she,met,her,future,husband,"","",David,.}",0,1,29,1,1,"{people_between_bucket=2,num_words_between_bucket=3,""BETW_L_[nsubj prepc_before dobj]"",""BETW_D_[nsubj play prepc_before play dobj]"",""BETW_[nsubj play prepc_before play dobj]""}","{1.97439,-0.728149,-0.000187171,0,0}"
22671015@5_0-22671015@5_4,22671015@5,Stephen Urban-John Yudichak,,0.24,"{Stephen,Urban,ran,against,John,Yudichak,and,lost,in,the,November,2,"","",2010,General,Election,.}",0,2,4,2,2,"{people_between_bucket=0,""BETW_L_[nsubj prep_against]"",NGRAM_1_[run],num_words_between_bucket=0,""BETW_[nsubj run prep_against]"",""BETW_D_[nsubj run prep_against]""}","{0.4248,-0.0712961,-0.065552,0.0050051,0,0}"
23815187@12_0-23815187@12_3,23815187@12,Hideto Aki-Kuki,,0.21,"{Aki,continued,with,Kuki,through,2002,when,he,began,directing,regularly,for,KMP,.}",0,1,3,1,1,"{people_between_bucket=0,""BETW_L_[nsubj prep_with]"",NGRAM_1_[continue],num_words_between_bucket=0,""BETW_D_[nsubj continue prep_with]"",""BETW_[nsubj continue prep_with]""}","{0.4248,-0.110447,-0.0359036,0.0050051,0,0}"
73157@145_0-73157@145_8,73157@145,Bruno Bauer-Friedrich Hegel,,0.202,"{Bauer,had,studied,directly,under,the,German,philosopher,Friedrich,Hegel,.}",0,1,8,2,2,"{people_between_bucket=0,num_words_between_bucket=1,NGRAM_1_[german],NGRAM_1_[philosopher],NGRAM_1_[directly],""BETW_L_[nsubj prep_under]""}","{0.4248,-0.109778,-0.103378,0.0877828,-0.072292,0.0110797}"
765397@1_2-765397@1_16,765397@1,Agnes of Courtenay-Joscelin II of Courtenay,,0.692,"{Agnes,of,Courtenay,Agnes,of,Courtenay,-LRB-,c.,1136,c.,1184,-RRB-,was,the,daughter,of,Joscelin,II,of,Courtenay,by,his,wife,Beatrice,-LRB-,widow,of,William,"","",Lord,of,Sa,ne,-RRB-,"","",and,the,mother,of,king,Baldwin,IV,of,Jerusalem,and,queen,Sibylla,of,Jerusalem,.}",2,1,16,4,4,"{people_between_bucket=2,dep_path_length>5,num_words_between_bucket=2,""BETW_L_[nn prep_of nsubj prep_of prep_of]"",""BETW_[nn Agnes prep_of agne nsubj daughter prep_of II prep_of]"",""BETW_D_[nn Agnes prep_of agne nsubj daughter prep_of II prep_of]""}","{1.97439,0.845584,-0.104993,0.00189233,0,0}"
6218182@3_0-6218182@3_7,6218182@3,Evelyn Whitaker-Kent,,0.754,"{Whitaker,was,born,in,Herne,Bay,"","",Kent,"","",the,seventh,child,of,Edward,Whitaker,-LRB-,b.,1802,"","",a,solicitor,originally,from,Bratton,"","",Wiltshire,and,previously,and,later,of,London,and,Middlesex,-RRB-,and,his,wife,Emily,Ann,Woolbert,-LRB-,d.,before,1851,-RRB-,.}",0,1,7,1,1,"{NGRAM_1_[bear],people_between_bucket=0,num_words_between_bucket=1,""BETW_L_[nsubjpass prep_in appos]"",""BETW_[nsubjpass bear prep_in Bay appos]"",""BETW_D_[nsubjpass bear prep_in Bay appos]""}","{2.43319,0.4248,-0.109778,0.0275413,0,0}"
921111@22_2-921111@22_26,921111@22,"Frederick Lindemann, 1st Viscount Cherwell-Henry Tizard",,0.19,"{In,1919,Lindemann,was,appointed,professor,of,experimental,philosophy,at,the,University,of,Oxford,and,director,of,the,Clarendon,Laboratory,"","",largely,on,the,recommendation,of,Henry,Tizard,who,had,been,a,colleague,in,Berlin,.}",2,1,26,2,2,"{num_words_between_bucket=3,people_between_bucket=0,NGRAM_1_[philosophy],NGRAM_1_[appoint],NGRAM_1_[director],NGRAM_1_[recommendation]}","{-0.728149,0.4248,-0.0519033,-0.0492262,0.0209746,-0.00537989}"
1440880@20_4-1440880@20_10,1440880@20,James Tissot-James McNeill Whistler,,0.204,"{Around,this,time,"","",Tissot,also,made,the,acquaintance,of,James,McNeill,Whistler,as,well,as,Edgar,Degas,-LRB-,who,had,also,been,a,student,of,Lamothe,and,a,friend,of,Delaunay,-RRB-,and,douard,Manet,.}",4,1,10,3,3,"{people_between_bucket=0,NGRAM_1_[make],NGRAM_1_[also],num_words_between_bucket=1,""BETW_L_[nsubj dobj prep_of]"",""NGRAM_2_[also make]""}","{0.4248,-0.272912,-0.152747,-0.109778,-0.0113407,-0.00625033}"
37599309@1_0-37599309@1_28,37599309@1,José Félix Aldao-Federist,,0.204,"{Jos,F,lix,Aldao,Jos,F,lix,Esquivel,y,Aldao,-LRB-,1785,-,1845,-RRB-,was,an,Argentine,Dominican,friar,who,became,a,General,and,then,the,undisputed,Federist,``,caudillo,'',of,Mendoza,Province,.}",0,1,28,1,1,"{dep_path_length>5,num_words_between_bucket=3,people_between_bucket=0,NGRAM_1_[-],NGRAM_1_[y],NGRAM_1_[f]}","{0.845584,-0.728149,0.4248,-0.323445,-0.127488,-0.114892}"
38596502@18_10-38596502@18_24,38596502@18,Alain Canhiart-Guyomarch,,0.376,"{After,this,second,battle,with,the,Duke,of,Brittany,"","",Alain,faced,difficulties,with,his,vassals,in,the,Viscounty,of,Leon,"","",most,notably,Guyomarch,I.,Guyomarch,I,allied,with,Morvan,"","",Viscount,of,Faou,"","",to,oppose,Alain,.}",10,1,24,1,1,"{dep_path_length>5,""BETW_L_[nsubj ccomp nsubj nn]"",people_between_bucket=0,num_words_between_bucket=2,NGRAM_1_[face],NGRAM_1_[difficulty]}","{0.845584,-0.686253,0.4248,-0.104993,-0.0641848,-0.00883109}"
1253715@29_12-1253715@29_27,1253715@29,Kevin Kyle-St Mirren,,0.302,"{In,the,games,following,the,2008/2009,season,Scottish,Premier,League,split,"","",Kyle,scored,all,of,Kilmarnock,'s,goals,in,a,draw,with,Falkirk,and,victories,against,St,Mirren,and,Inverness,Caledonian,Thistle,thus,helping,the,team,secure,8th,place,and,SPL,survival,.}",12,1,27,2,2,"{dep_path_length>5,people_between_bucket=0,NGRAM_1_['s],NGRAM_1_[victory],num_words_between_bucket=2,NGRAM_1_[score]}","{0.845584,0.4248,-0.275959,-0.105848,-0.104993,-0.103788}"
1468438@13_34-1468438@13_0,1468438@13,"Charles I Louis, Elector Palatine-Charles Louis",,0.198,"{Charles,Louis,',endorsement,of,the,Parliamentary,party,was,a,cause,of,enmity,between,uncle,and,nephew,"","",and,when,a,captive,Charles,I,met,his,nephew,once,again,in,1647,"","",the,elder,Charles,accused,the,Prince,of,angling,after,the,English,throne,.}",34,1,0,2,2,"{num_words_between_bucket=3,""INV_BETW_[nsubj accuse conj_and cause nsubj endorsement poss]elder"",""INV_BETW_D_[nsubj accuse conj_and cause nsubj endorsement poss]elder"",""INV_BETW_L_[nsubj conj_and nsubj poss]elder""}","{-0.728149,0,0,0}"
41132279@3_6-41132279@3_19,41132279@3,Abd al-Qadir al-Husayni-Amin al-Husayni,,0.718,"{Husayni,was,born,to,the,influential,al-Husayni,family,of,Jerusalem,"","",son,of,Musa,al-Husayni,and,the,nephew,of,Amin,al-Husayni,.}",6,1,19,2,2,"{people_between_bucket=2,dep_path_length>5,num_words_between_bucket=2,""BETW_D_[amod family prep_of Jerusalem appos son prep_of al-Husayni conj_and nephew prep_of]"",""BETW_L_[amod prep_of appos prep_of conj_and prep_of]"",""BETW_[amod family prep_of Jerusalem appos son prep_of al-Husayni conj_and nephew prep_of]""}","{1.97439,0.845584,-0.104993,0,0,0}"
46547@213_20-46547@213_38,46547@213,Samuel of Bulgaria-Agatha,,0.812,"{Another,woman,"","",Kosara,"","",who,was,wedded,to,Jovan,Vladimir,of,Duklja,and,was,considered,by,earlier,scholarship,as,Samuel,'s,daughter,"","",is,now,regarded,to,have,been,simply,a,relative,"","",perhaps,a,niece,of,Agatha,.}",20,1,38,1,1,"{NGRAM_1_[daughter],dep_path_length>5,people_between_bucket=0,NGRAM_1_['s],NGRAM_1_[simply],NGRAM_1_[perhaps]}","{1.82734,0.845584,0.4248,-0.275959,-0.184093,0.113814}"
936829@62_2-936829@62_13,936829@62,Zooey Deschanel-Bonnie Lies,,0.254,"{Subsequently,"","",Deschanel,also,sings,in,``,Winter,Passing,'',-LRB-,``,My,Bonnie,Lies,over,the,Ocean,'',-RRB-,.}",2,1,13,2,2,"{people_between_bucket=0,NGRAM_1_[also],num_words_between_bucket=2,NGRAM_1_[sing],""NGRAM_2_[also sing]"",""BETW_L_[nsubj prep_in dep]""}","{0.4248,-0.152747,-0.104993,0.0909333,0.0541763,-0.0425979}"
10262536@5_0-10262536@5_28,10262536@5,Dora Alonso-David Alonso Fern,,0.466,"{Dora,Alonso,was,born,in,M,ximo,G,mez,"","",Matanzas,"","",Cuba,on,December,22,"","",1910,"","",to,Adela,P,rez,de,Corcho,Rodr,guez,and,David,Alonso,Fern,ndez,.}",0,2,28,3,3,"{people_between_bucket=1,dep_path_length>5,num_words_between_bucket=3,""BETW_[nsubjpass bear prep_to rez prep_de guez conj_and ndez nn]"",""BETW_D_[nsubjpass bear prep_to rez prep_de guez conj_and ndez nn]"",""BETW_L_[nsubjpass prep_to prep_de conj_and nn]""}","{1.18556,0.845584,-0.728149,0,0,0}"
13659912@32_10-13659912@32_15,13659912@32,Harold Brownlow Martin-Hawker Siddeley,,0.2,"{After,retiring,from,the,RAF,on,31,October,1974,"","",Martin,worked,for,aircraft,manufacturer,Hawker,Siddeley,as,an,advisor,.}",10,1,15,2,2,"{people_between_bucket=0,NGRAM_1_[work],NGRAM_1_[aircraft],NGRAM_1_[manufacturer],""BETW_L_[nsubj prep_for]"",num_words_between_bucket=0}","{0.4248,-0.377051,0.0467394,0.0459424,-0.0357446,0.0050051}"
7180@4_0-7180@4_15,7180@4,Chris Sarandon-Cliffie,,0.978,"{Sarandon,was,born,and,raised,in,Beckley,"","",West,Virginia,"","",the,son,of,restaurateurs,Cliffie,-LRB-,n,e,Cardullias,-RRB-,and,Christopher,``,Chris,'',Sarandon,"","",Sr.,.}",0,1,15,1,1,"{NGRAM_1_[bear],NGRAM_1_[son],""BETW_L_[nsubjpass dep prep_of]"",NGRAM_1_[raise],people_between_bucket=0,""BETW_D_[nsubjpass bear dep son prep_of]""}","{2.43319,2.25699,0.610834,0.540285,0.4248,0.133831}"
9338319@11_18-9338319@11_20,9338319@11,Henryk Iwaniec-Friedlander,,0.14,"{Results,of,this,strength,had,previously,been,seen,as,completely,out,of,reach,:,sieve,theory,used,by,Iwaniec,and,Friedlander,in,combination,with,other,techniques,can,not,usually,distinguish,between,primes,and,products,of,two,primes,"","",say,.}",18,1,20,1,1,"{people_between_bucket=0,BETW_L_[conj_and],BETW_D_[conj_and],BETW_[conj_and],num_words_between_bucket=0}","{0.4248,0.149423,0.1476,0.147414,0.0050051}"
4362973@14_45-4362973@14_9,4362973@14,John Joseph Cantwell-Pat O'Brien,,0.212,"{Spencer,Tracy,"","",Bing,Crosby,"","",Irene,Dunne,"","",Pat,O'Brien,-LRB-,actor,-RRB-,"","",June,Marlowe,"","",James,Cagney,"","",Loretta,Young,"","",Frank,McHugh,"","",J.,Carrol,Naish,"","",Barry,Fitzgerald,and,many,Roman,Catholics,in,the,motion,picture,industry,were,friends,of,Cantwell,.}",45,1,9,2,2,"{num_words_between_bucket=3,""INV_BETW_L_[prep_of nsubj appos appos]"",""INV_BETW_D_[prep_of friend nsubj Tracy appos Dunne appos]"",""INV_BETW_[prep_of friend nsubj Tracy appos Dunne appos]""}","{-0.728149,0,0,0}"
866727@29_7-866727@29_19,866727@29,James Lipton-Stefan Gentles,,0.35,"{In,2004,"","",2005,"","",and,2013,Lipton,appeared,in,several,episodes,of,``,Arrested,Development,'',as,Warden,Stefan,Gentles,.}",7,1,19,2,2,"{dep_path_length>5,people_between_bucket=0,NGRAM_1_[appear],num_words_between_bucket=2,NGRAM_1_[arrest],NGRAM_1_[episode]}","{0.845584,0.4248,-0.321179,-0.104993,0.0792456,-0.0566149}"
5532601@4_0-5532601@4_4,5532601@4,Mary Sumner-Mary Elizabeth Heywood,,0.746,"{Mary,Sumner,was,born,Mary,Elizabeth,Heywood,in,Swinton,near,Salford,"","",Lancashire,"","",the,third,of,four,children,.}",0,2,4,3,3,"{NGRAM_1_[bear],people_between_bucket=0,""BETW_L_[nsubjpass dobj]"",""BETW_D_[nsubjpass bear dobj]"",""BETW_[nsubjpass bear dobj]"",num_words_between_bucket=0}","{2.43319,0.4248,-0.19079,-0.0694155,-0.0694155,0.0050051}"
18932287@8_2-18932287@8_16,18932287@8,Moshe Shahal-Mordechai Ofer,,0.272,"{Nevertheless,"","",Shahal,entered,the,Knesset,on,1,September,1971,as,a,replacement,for,the,deceased,Mordechai,Ofer,.}",2,1,16,2,2,"{people_between_bucket=0,num_words_between_bucket=2,""BETW_L_[nsubj prep_as prep_for]"",NGRAM_1_[enter],NGRAM_1_[1971],NGRAM_1_[1]}","{0.4248,-0.104993,0.0510338,0.0265571,0.016299,0.00846318}"
562928@1_21-562928@1_0,562928@1,Bob Boucher-Bob Boucher Robert Francis Boucher,f,0.124,"{Bob,Boucher,Robert,Francis,Boucher,"","",CBE,"","",FREng,-LRB-,25,April,1940,25,March,2009,-RRB-,"","",usually,known,as,Bob,Boucher,"","",was,a,British,mechanical,engineer,"","",and,Vice-Chancellor,of,both,UMIST,-LRB-,1995,2001,-RRB-,the,University,of,Sheffield,-LRB-,2001,2007,-RRB-,.}",21,2,0,5,5,"{""INV_BETW_[prep_as know vmod]"",""INV_BETW_D_[prep_as know vmod]"",""INV_BETW_L_[prep_as vmod]"",num_words_between_bucket=2}","{-0.526715,-0.52668,-0.497502,-0.104993}"
3595738@6_23-3595738@6_32,3595738@6,Kurmanjan Datka-Kokand,,0.484,"{An,instrumental,politician,in,the,increasingly,decrepit,Kokand,khanate,"","",Alimbek,was,murdered,in,the,course,of,a,palace,coup,in,1862,and,Kurmanjan,was,recognized,by,the,khans,of,Bukhara,and,Kokand,as,ruler,of,the,Alai,and,given,the,title,of,'',``,Datka,'','',.}",23,1,32,1,1,"{dep_path_length>5,people_between_bucket=0,num_words_between_bucket=1,NGRAM_1_[khan],NGRAM_1_[recognize],""BETW_D_[conj_and 1862 prep_in coup prep_of course prep_in murder dep recognize agent khan prep_of Bukhara conj_and]""}","{0.845584,0.4248,-0.109778,0.0457358,0.0270743,0}"
21952217@9_0-21952217@9_31,21952217@9,Daniela Ruah-Vera,,0.648,"{Ruah,'s,maternal,grandmother,"","",Vera,"","",was,born,in,Lisbon,"","",Portugal,;,Vera,'s,father,-LRB-,Ruah,'s,great-grandfather,-RRB-,was,of,Sephardic,Jewish,and,Spanish,ancestry,"","",and,Vera,'s,mother,-LRB-,Ruah,'s,great-grandmother,-RRB-,was,a,Ukrainian,Ashkenazi,Jew,from,Odessa,.}",0,1,31,1,1,"{people_between_bucket=2,dep_path_length>5,num_words_between_bucket=3,""BETW_L_[poss nsubjpass conj_and nsubj poss]and"",""BETW_[poss grandmother nsubjpass bear conj_and jew nsubj mother poss]and"",""BETW_D_[poss grandmother nsubjpass bear conj_and jew nsubj mother poss]and""}","{1.97439,0.845584,-0.728149,-0.0167449,0,0}"
374370@7_0-374370@7_3,374370@7,Hugh MacDiarmid-Christopher Murray Grieve,,0.738,"{MacDiarmid,was,born,Christopher,Murray,Grieve,in,1892,"","",in,the,Scottish,Border,town,of,Langholm,.}",0,1,3,3,3,"{NGRAM_1_[bear],people_between_bucket=0,""BETW_L_[nsubjpass dobj]"",""BETW_D_[nsubjpass bear dobj]"",""BETW_[nsubjpass bear dobj]"",num_words_between_bucket=0}","{2.43319,0.4248,-0.19079,-0.0694155,-0.0694155,0.0050051}"
45041016@28_4-45041016@28_14,45041016@28,"George ""Dod"" Orsborne-Pat",,0.216,"{Back,in,England,"","",Orsborne,was,tried,for,the,theft,of,the,``,Girl,Pat,'',and,sentenced,to,18,months,',imprisonment,.}",4,1,14,1,1,"{people_between_bucket=0,num_words_between_bucket=1,""BETW_L_[nsubjpass prep_for prep_of]"",NGRAM_1_[try],NGRAM_1_[theft],""BETW_D_[nsubjpass try prep_for theft prep_of]""}","{0.4248,-0.109778,0.0399204,-0.0183786,-2.87065e-05,0}"
34013137@11_4-34013137@11_6,34013137@11,Viola Thompson-Elizabeth Mahon,,0.034,"{While,at,Greenville,"","",Thompson,met,Elizabeth,Mahon,"","",a,talented,player,with,the,same,passion,for,baseball,"","",with,whom,she,started,a,close,friendship,.}",4,1,6,2,2,"{people_between_bucket=0,""BETW_L_[nsubj dobj]"",NGRAM_1_[meet],""BETW_[nsubj meet dobj]"",""BETW_D_[nsubj meet dobj]"",WORD_SEQ_[met]}","{0.4248,-0.273492,-0.152528,-0.0439159,-0.0439159,0.00950911}"
15886162@17_2-15886162@17_8,15886162@17,Donncha O'Connor-Cork,,0.172,"{In,2006,O'Connor,made,his,senior,debut,for,Cork,when,he,came,on,as,a,substitute,for,Nicholas,Murphy,in,a,National,Football,League,game,against,Offaly,.}",2,1,8,1,1,"{people_between_bucket=0,NGRAM_1_[make],num_words_between_bucket=1,NGRAM_1_[senior],""NGRAM_2_[senior debut]"",NGRAM_1_[debut]}","{0.4248,-0.272912,-0.109778,0.0446526,-0.0174763,-0.012219}"
1587997@24_0-1587997@24_21,1587997@24,Dawn Steele-Charlotte McGill,,0.216,"{Dawn,appeared,in,the,BBC,Crime,Drama,``,Case,Histories,'',which,aired,in,June,2013,"","",playing,the,part,of,Charlotte,McGill,.}",0,1,21,2,2,"{dep_path_length>5,num_words_between_bucket=3,people_between_bucket=0,NGRAM_1_[play],NGRAM_1_[appear],NGRAM_1_[2013]}","{0.845584,-0.728149,0.4248,-0.404552,-0.321179,-0.118049}"
30482043@17_2-30482043@17_14,30482043@17,Penny Jay-Jimmy Martin,,0.648,"{Other,songs,Jay,wrote,include,Skeeter,Davis,',``,Set,Him,Free,'',"","",Jimmy,Martin,'s,trucker,ode,``,Widow,Maker,'',"","",and,many,more,.}",2,1,14,2,2,"{people_between_bucket=2,dep_path_length>5,num_words_between_bucket=2,""BETW_L_[nsubj dep dobj poss]Free"",""BETW_D_[nsubj write dep include dobj ode poss]Free"",""BETW_[nsubj write dep include dobj ode poss]Free""}","{1.97439,0.845584,-0.104993,0,0,0}"
37394830@1_0-37394830@1_24,37394830@1,Chitikila Musili-C. S. Seshadri,,0.648,"{Chitikila,Musili,Chitikila,Musili,was,an,Indian,mathematician,at,the,University,of,Hyderabad,who,developed,standard,monomial,theory,in,collaboration,with,his,PhD,supervisor,C.,S.,Seshadri,.}",0,2,24,3,3,"{people_between_bucket=2,dep_path_length>5,num_words_between_bucket=3,""BETW_D_[nn Musili nsubj mathematician prep_at University rcmod develop prep_with]"",""BETW_L_[nn nsubj prep_at rcmod prep_with]"",""BETW_[nn Musili nsubj mathematician prep_at University rcmod develop prep_with]""}","{1.97439,0.845584,-0.728149,0,0,0}"
36338360@1_0-36338360@1_2,36338360@1,Elijah of Ferrara-Ferrara Elijah,,0.19,"{Elijah,of,Ferrara,Elijah,of,Ferrara,-LRB-,Hebrew,:,"","",or,-RRB-,was,a,Jewish-Italian,Talmudist,and,traveler,of,the,earlier,part,of,the,15th,century,.}",0,1,2,2,2,"{BETW_L_[prep_of],BETW_D_[prep_of],BETW_[prep_of],people_between_bucket=0,num_words_between_bucket=0}","{-0.458297,-0.458297,-0.458297,0.4248,0.0050051}"
18449083@12_4-18449083@12_25,18449083@12,Trevor Carolan-Richard Ouzounian,,0.296,"{Returned,to,B.C.,"","",Carolan,played,harmonica,in,folk-blues,units,while,studying,at,Douglas,College,and,Simon,Fraser,University,"","",where,he,studied,Theatre,with,Richard,Ouzounian,.}",4,1,25,2,2,"{dep_path_length>5,num_words_between_bucket=3,people_between_bucket=0,NGRAM_1_[play],NGRAM_1_[unit],NGRAM_1_[study]}","{0.845584,-0.728149,0.4248,-0.404552,0.0925824,0.0100548}"
