relation_id,sentence_id,description,is_true,expectation,words,c_start,c_length,p_start,p_length,p_length,features,weights
71792@108_4-71792@108_8,71792@108,Daniel Boone-James,,0.95,"{On,October,9,"","",Boone,'s,eldest,son,James,and,a,small,group,of,men,and,boys,who,had,left,the,main,party,to,retrieve,supplies,were,attacked,by,a,band,of,Delawares,"","",Shawnees,"","",and,Cherokees,.}",8,1,4,1,1,"{INV_BETW_[poss]son,INV_BETW_D_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
84656@106_6-84656@106_9,84656@106,Winsor McCay-Robert,,0.948,"{Nemo,'s,appearance,was,based,on,McCay,'s,son,Robert,.}",9,1,6,1,1,"{INV_BETW_D_[poss]son,INV_BETW_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
1301058@80_5-1301058@80_9,1301058@80,Princess Victoria of Hesse and by Rhine-George,,0.954,"{Further,tragedy,soon,followed,when,Victoria,'s,son,"","",George,"","",died,of,bone,cancer,the,following,year,.}",9,1,5,1,1,"{""INV_BETW_D_[appos son poss]son"",""INV_BETW_[appos son poss]son"",""INV_BETW_L_[appos poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
9019330@8_0-9019330@8_3,9019330@8,Elijah Pitts-Ron Pitts,t,0.936,"{Pitts,',son,Ron,Pitts,is,currently,a,sportscaster,for,the,Fox,television,network,.}",3,2,0,1,1,"{INV_BETW_D_[poss]son,INV_BETW_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
1058883@45_8-1058883@45_13,1058883@45,Claude of France-Henry,,0.94,"{After,the,Dauphin,'s,death,in,1536,"","",Claude,'s,second,son,"","",Henry,"","",Duke,of,Orleans,"","",became,Dauphin,and,Duke,of,Brittany,.}",13,1,8,1,1,"{""INV_BETW_D_[appos son poss]son"",""INV_BETW_L_[appos poss]son"",""INV_BETW_[appos son poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
4925842@55_0-4925842@55_3,4925842@55,Hugh McShane O'Neill-Brian,,0.95,"{Hugh,'s,son,Brian,continued,a,restless,and,aggressive,life,.}",3,1,0,1,1,"{INV_BETW_[poss]son,INV_BETW_D_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
8270919@3_0-8270919@3_7,8270919@3,Peder Vilhelm Jensen-Klint-Kaare Klint,t,0.962,"{Jensen-Klint,was,the,father,of,fellow,architect,Kaare,Klint,who,assumed,responsibility,for,completing,work,on,Grundtvig,'s,Church,after,his,father,'s,death,in,1930,.}",7,2,0,1,1,"{""INV_BETW_[prep_of father nsubj]"",""INV_BETW_D_[prep_of father nsubj]"",""INV_BETW_L_[prep_of nsubj]"",num_words_between_bucket=1}","{0.990748,0.988409,0.932878,0.35506}"
29058210@9_0-29058210@9_6,29058210@9,Steve Dorff-Stephen Dorff,t,0.952,"{Dorff,is,the,father,of,actor,Stephen,Dorff,and,songwriter,Andrew,Dorff,.}",6,2,0,1,1,"{""INV_BETW_[prep_of father nsubj]"",""INV_BETW_D_[prep_of father nsubj]"",""INV_BETW_L_[prep_of nsubj]"",num_words_between_bucket=1}","{0.990748,0.988409,0.932878,0.35506}"
153791@63_0-153791@63_5,153791@63,"Cecily Neville, Duchess of York-Richard",,0.952,"{Cecily,Neville,'s,youngest,son,Richard,"","",their,uncle,"","",was,appointed,their,protector,by,Edward,'s,will,"","",but,he,had,them,placed,in,the,Tower,"","",whence,they,were,never,to,emerge,;,their,subsequent,fate,is,a,matter,of,dispute,.}",5,1,0,2,2,"{INV_BETW_[poss]son,INV_BETW_D_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
9428@388_8-9428@388_11,9428@388,Ernest Hemingway-Jack,,0.944,"{A,line,of,Hemingway,furniture,"","",promoted,by,Hemingway,'s,son,Jack,-LRB-,Bumby,-RRB-,"","",has,pieces,such,as,the,``,Kilimanjaro,'',bedside,table,"","",and,a,``,Catherine,'',slip-covered,sofa,.}",11,1,8,1,1,"{INV_BETW_[poss]son,INV_BETW_D_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
31336725@26_3-31336725@26_6,31336725@26,Devereux Milburn-John,,0.956,"{A,visit,by,Milburn,'s,son,John,and,two,air,force,colleagues,to,the,family,home,on,Long,Island,features,in,Paul,Auster,'s,true,story,collection,"","",``,True,Tales,of,American,Life,'',.}",6,1,3,1,1,"{""INV_BETW_[appos son poss]son"",""INV_BETW_L_[appos poss]son"",""INV_BETW_D_[appos son poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
5058295@31_0-5058295@31_4,5058295@31,Keith Dunstan-David,,0.958,"{Dunstan,'s,son,"","",David,"","",reported,that,his,father,had,written,his,own,"","",self-effacing,"","",obituary,.}",4,1,0,1,1,"{""INV_BETW_[appos son poss]son"",""INV_BETW_L_[appos poss]son"",""INV_BETW_D_[appos son poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
23526494@3_0-23526494@3_3,23526494@3,"John Coffin Jones, Sr.-John Coffin Jones",t,0.918,"{Jones,',son,John,Coffin,Jones,"","",Jr.,was,the,first,United,States,Consular,Agent,to,Hawaii,.}",3,3,0,1,1,"{INV_BETW_[poss]son,INV_BETW_D_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
5425273@15_11-5425273@15_15,5425273@15,Michael II Komnenos Doukas-John Doukas,,0.932,"{Nevertheless,"","",the,allied,operation,was,compromised,by,mutual,suspicion,and,Michael,'s,illegitimate,son,John,Doukas,deserted,to,the,enemy,"","",while,Michael,himself,abandoned,his,allies,.}",15,2,11,1,1,"{INV_BETW_D_[poss]son,INV_BETW_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
4586761@21_5-4586761@21_8,4586761@21,Qi of Xia-Tai Kang,t,0.942,"{After,Qi,'s,rule,"","",Qi,'s,son,Tai,Kang,succeeded,him,as,king,.}",8,2,5,1,1,"{INV_BETW_D_[poss]son,INV_BETW_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
9876745@28_0-9876745@28_6,9876745@28,Mirka Mora-Tiriel Mora,t,0.912,"{Mora,is,the,mother,of,actor,Tiriel,Mora,"","",film,director,Philippe,Mora,and,art,dealer,William,Mora,and,lives,in,a,studio,in,Melbourne,.}",6,2,0,1,1,"{""INV_BETW_L_[prep_of nsubj]"",""INV_BETW_[prep_of mother nsubj]"",""INV_BETW_D_[prep_of mother nsubj]"",num_words_between_bucket=1}","{0.932878,0.384829,0.384829,0.35506}"
9695333@56_1-9695333@56_4,9695333@56,Ric Drasin-Adam,,0.944,"{Although,Drasin,'s,son,Adam,did,not,wrestle,professionally,"","",he,occasionally,worked,as,a,referee,for,the,AWF,.}",4,1,1,1,1,"{INV_BETW_[poss]son,INV_BETW_D_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
3328528@8_2-3328528@8_8,3328528@8,Armando Hart-Celia Hart,t,0.962,"{-LSB-,http://www.socialistviewpoint.org/mayjun_05/mayjun_05_08.htm],Armando,Hart,is,the,father,of,Celia,Hart,.}",8,2,2,2,2,"{""INV_BETW_[prep_of father nsubj]"",""INV_BETW_D_[prep_of father nsubj]"",""INV_BETW_L_[prep_of nsubj]"",num_words_between_bucket=0}","{0.990748,0.988409,0.932878,0.203419}"
3161005@29_22-3161005@29_25,3161005@29,Qabus-Manuchihr,t,0.946,"{The,army,leaders,failed,to,capture,him,in,his,castle,outside,Gurgan,"","",but,they,took,control,of,the,capital,and,invited,Qabus,'s,son,Manuchihr,"","",the,governor,of,Tabaristan,"","",to,take,over,.}",25,1,22,1,1,"{INV_BETW_[poss]son,INV_BETW_D_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
1314015@18_5-1314015@18_9,1314015@18,Jack C. Taylor-Andrew C. Taylor,t,0.938,"{The,current,executive,chairman,is,Taylor,'s,son,"","",Andrew,C.,Taylor,.}",9,3,5,1,1,"{""INV_BETW_[appos son poss]son"",""INV_BETW_D_[appos son poss]son"",""INV_BETW_L_[appos poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
5884@172_13-5884@172_17,5884@172,Charles Dickens-Kate Perugini,t,0.91,"{That,the,two,had,a,son,who,died,in,infancy,was,alleged,by,Dickens,'s,daughter,"","",Kate,Perugini,"","",whom,Gladys,Storey,had,interviewed,before,her,death,in,1929,.}",17,2,13,1,1,"{""INV_BETW_L_[appos poss]daughter"",""INV_BETW_[appos daughter poss]daughter"",""INV_BETW_D_[appos daughter poss]daughter"",num_words_between_bucket=0}","{0.710435,0.635532,0.635532,0.203419}"
166831@227_15-166831@227_18,166831@227,Gerry Anderson-Jamie,,0.94,"{On,25,March,2013,"","",in,an,announcement,on,the,official,Gerry,Anderson,website,"","",Anderson,'s,son,Jamie,announced,that,a,number,of,projects,that,Anderson,had,been,unable,to,finish,during,his,lifetime,were,being,developed,by,his,company,Anderson,Entertainment,.}",18,1,15,1,1,"{INV_BETW_[poss]son,INV_BETW_D_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
3107779@76_0-3107779@76_10,3107779@76,Joe Stevenson-Frankie,,0.93,"{Stevenson,and,his,second,wife,Maia,have,two,sons,"","",Frankie,and,Maximus,.}",10,1,0,1,1,"{""INV_BETW_L_[appos dobj nsubj]"",""INV_BETW_D_[appos son dobj have nsubj]"",""INV_BETW_[appos son dobj have nsubj]"",num_words_between_bucket=1}","{0.806261,0.524342,0.524342,0.35506}"
10608061@31_0-10608061@31_4,10608061@31,Gale Gilbert-Garrett Gilbert,t,0.942,"{Gilbert,'s,son,"","",Garrett,Gilbert,"","",is,currently,a,quarterback,for,the,New,England,Patriots,.}",4,2,0,1,1,"{""INV_BETW_D_[appos son poss]son"",""INV_BETW_[appos son poss]son"",""INV_BETW_L_[appos poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
21001521@22_3-21001521@22_8,21001521@22,Edward Burgh-Henry,,0.942,"{In,1529,"","",Edward,'s,other,son,"","",Henry,"","",married,Katherine,Neville,"","",daughter,of,Sir,Ralph,Neville,and,Anne,Warde,.}",8,1,3,1,1,"{""INV_BETW_D_[appos son poss]son"",""INV_BETW_[appos son poss]son"",""INV_BETW_L_[appos poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
262658@80_13-262658@80_17,262658@80,Alejandro Jodorowsky-Brontis Jodorowsky,t,0.956,"{The,book,'s,protagonist,"","",Paul,Atreides,"","",was,to,be,played,by,Jodorowsky,'s,son,"","",Brontis,Jodorowsky,.}",17,2,13,1,1,"{""INV_BETW_D_[appos son poss]son"",""INV_BETW_L_[appos poss]son"",""INV_BETW_[appos son poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
18835858@17_32-18835858@17_36,18835858@17,Mary Boleyn-Henry,,0.942,"{If,Anne,had,been,the,elder,sister,"","",the,better,claim,to,the,title,would,have,belonged,to,her,daughter,"","",Queen,Elizabeth,I.,However,"","",it,appears,that,Queen,Elizabeth,offered,Mary,'s,son,"","",Henry,"","",the,earldom,as,he,was,dying,"","",although,he,declined,it,.}",36,1,32,1,1,"{""INV_BETW_D_[appos son poss]son"",""INV_BETW_[appos son poss]son"",""INV_BETW_L_[appos poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
1166244@32_0-1166244@32_3,1166244@32,Kenny Marchant-Matthew Marchant,t,0.944,"{Marchant,'s,son,Matthew,Marchant,is,the,current,mayor,of,Carrollton,"","",Texas,.}",3,2,0,1,1,"{INV_BETW_D_[poss]son,INV_BETW_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
84656@287_22-84656@287_25,84656@287,Winsor McCay-Robert,,0.916,"{In,1966,"","",cartoonist,Woody,Gelman,discovered,the,original,artwork,for,many,``,Little,Nemo,'',strips,at,a,cartoon,studio,where,McCay,'s,son,Robert,had,worked,.}",25,1,22,1,1,"{INV_BETW_D_[poss]son,INV_BETW_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
23606299@36_0-23606299@36_3,23606299@36,Peter R. Arnott-David Arnott,t,0.956,"{Arnott,'s,son,David,Arnott,is,an,actor,"","",screenwriter,and,musical,composer,living,in,Southern,California,.}",3,2,0,1,1,"{INV_BETW_D_[poss]son,INV_BETW_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
1992770@39_0-1992770@39_6,1992770@39,Jerry Weintraub-Michael Weintraub,t,0.916,"{Weintraub,also,has,a,son,"","",Michael,Weintraub,"","",from,his,first,marriage,.}",6,2,0,1,1,"{""INV_BETW_L_[appos dobj nsubj]"",""INV_BETW_[appos son dobj have nsubj]"",""INV_BETW_D_[appos son dobj have nsubj]"",num_words_between_bucket=1}","{0.806261,0.524342,0.524342,0.35506}"
735176@33_0-735176@33_4,735176@33,Hiram Bingham I-Hiram Bingham II,t,0.936,"{Bingham,'s,son,"","",Hiram,Bingham,II,"","",was,also,a,missionary,to,the,Kingdom,of,Hawaii,.}",4,3,0,1,1,"{""INV_BETW_D_[appos son poss]son"",""INV_BETW_L_[appos poss]son"",""INV_BETW_[appos son poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
170557@65_0-170557@65_5,170557@65,"William de Braose, 4th Lord of Bramber-Reginald de Braose",t,0.94,"{William,'s,third,son,"","",Reginald,de,Braose,reacquired,his,father,'s,lands,and,titles,for,himself,through,simply,seizing,them,back,by,force,following,the,death,of,Giles,.}",5,3,0,1,1,"{""INV_BETW_D_[appos son poss]son"",""INV_BETW_L_[appos poss]son"",""INV_BETW_[appos son poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
1198941@29_7-1198941@29_13,1198941@29,"Pier Luigi Farnese, Duke of Parma-Alessandro Farnese",t,0.932,"{Paul,'s,first,action,was,to,make,Pier,Luigi,'s,eldest,son,"","",Alessandro,Farnese,"","",a,cardinal,.}",13,2,7,2,2,"{""INV_BETW_L_[appos poss]son"",""INV_BETW_D_[appos son poss]son"",""INV_BETW_[appos son poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
2835859@19_5-2835859@19_9,2835859@19,Richard D. Obenshain-Mark Obenshain,t,0.934,"{Then,"","",in,November,"","",Obenshain,'s,son,"","",Mark,Obenshain,"","",an,attorney,based,in,Harrisonburg,"","",was,elected,to,the,Virginia,State,Senate,from,the,26th,district,.}",9,2,5,1,1,"{""INV_BETW_D_[appos son poss]son"",""INV_BETW_[appos son poss]son"",""INV_BETW_L_[appos poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
932123@19_0-932123@19_4,932123@19,William Byrd II-William Byrd III,t,0.938,"{Byrd,'s,son,"","",William,Byrd,III,"","",inherited,his,family,land,but,chose,to,fight,in,the,French,and,Indian,War,rather,than,spend,much,time,in,Richmond,.}",4,3,0,1,1,"{""INV_BETW_D_[appos son poss]son"",""INV_BETW_L_[appos poss]son"",""INV_BETW_[appos son poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
32855616@34_13-32855616@34_16,32855616@34,"Rudolf IV, Margrave of Hachberg-Sausenberg-Philip",,0.944,"{The,negotiations,did,not,reach,a,conclusion,during,Rudolf,'s,lifetime,"","",but,Rudolf,'s,son,Philip,resume,the,negotiations,with,Christopher,I,and,they,reached,an,agreement,in,1490,.}",16,1,13,1,1,"{INV_BETW_[poss]son,INV_BETW_D_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
3139923@37_1-3139923@37_4,3139923@37,Maria of Alania-Constantine,,0.936,"{After,Maria,'s,son,Constantine,died,in,1096,"","",she,finally,moved,herself,to,a,monastery,"","",purportedly,in,a,heavily,Georgian-influenced,area,like,North,Eastern,Anatolia,.}",4,1,1,1,1,"{INV_BETW_[poss]son,INV_BETW_D_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
3745429@3_21-3745429@3_25,3745429@3,Li Shou-Li Shi,t,0.942,"{Traditional,historians,"","",however,"","",did,not,consider,his,regime,a,separate,state,and,treated,the,succession,from,Li,Xiong,to,Li,Shou,'s,son,Li,Shi,as,a,single,Cheng,Han,state,.}",25,2,21,2,2,"{INV_BETW_D_[poss]son,INV_BETW_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
37469661@78_0-37469661@78_4,37469661@78,John Anthony Walker-Michael,,0.948,"{Walker,'s,son,"","",Michael,"","",who,had,a,relatively,minor,role,in,the,ring,"","",and,who,agreed,to,testify,in,exchange,for,a,reduced,sentence,"","",was,released,from,prison,on,parole,in,February,2000,.}",4,1,0,1,1,"{""INV_BETW_[appos son poss]son"",""INV_BETW_L_[appos poss]son"",""INV_BETW_D_[appos son poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
13665013@12_0-13665013@12_3,13665013@12,Pierce O'Leary-Ryan O'Leary,t,0.934,"{Pierce,'s,son,Ryan,O'Leary,is,now,a,professional,footballer,with,Kilmarnock,.}",3,2,0,1,1,"{INV_BETW_[poss]son,INV_BETW_D_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
559974@7_15-559974@7_18,559974@7,"Charles Somerset, Marquess of Worcester-Henry",,0.926,"{Because,Charles,predeceased,his,father,"","",on,the,duke,'s,death,the,dukedom,passed,to,Charles,'s,son,Henry,.}",18,1,15,1,1,"{INV_BETW_[poss]son,INV_BETW_D_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
1079007@12_0-1079007@12_6,1079007@12,Henry Southard-Isaac Southard,t,0.958,"{Henry,Southard,was,the,father,of,Isaac,Southard,and,Samuel,Lewis,Southard,.}",6,2,0,2,2,"{""INV_BETW_[prep_of father nsubj]"",""INV_BETW_D_[prep_of father nsubj]"",""INV_BETW_L_[prep_of nsubj]"",num_words_between_bucket=0}","{0.990748,0.988409,0.932878,0.203419}"
40444317@9_0-40444317@9_7,40444317@9,Francis Folger Franklin-William,,0.902,"{Franklin,also,had,an,illegitimate,son,"","",William,-LRB-,born,-RRB-,"","",whose,mother,may,have,been,a,maid,in,the,household,"","",perhaps,a,woman,named,Barbara,"","",or,even,Deborah,Read,herself,.}",7,1,0,1,1,"{""INV_BETW_L_[appos dobj nsubj]"",""INV_BETW_D_[appos son dobj have nsubj]"",""INV_BETW_[appos son dobj have nsubj]"",num_words_between_bucket=1}","{0.806261,0.524342,0.524342,0.35506}"
21789640@30_4-21789640@30_8,21789640@30,Heinrich Carl von Schimmelmann-Ernst Heinrich von Schimmelmann,t,0.956,"{Through,the,work,of,von,Schimmelmann,'s,son,Ernst,Heinrich,von,Schimmelmann,among,others,"","",slave,trade,was,banned,in,1792,-LRB-,effective,from,1803,-RRB-,.}",8,4,4,2,2,"{INV_BETW_D_[poss]son,INV_BETW_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
16193@344_0-16193@344_4,16193@344,Jackie Robinson-Sharon,,0.904,"{Robinson,'s,daughter,"","",Sharon,"","",became,a,midwife,"","",educator,"","",director,of,educational,programming,for,MLB,"","",and,the,author,of,two,books,about,her,father,.}",4,1,0,1,1,"{""INV_BETW_L_[appos poss]daughter"",""INV_BETW_[appos daughter poss]daughter"",""INV_BETW_D_[appos daughter poss]daughter"",num_words_between_bucket=0}","{0.710435,0.635532,0.635532,0.203419}"
682110@188_23-682110@188_27,682110@188,"James Douglas, Lord of Douglas-William",,0.932,"{Sir,James,had,two,children,by,unknown,mothers,:,By,1333,the,`,bloody,heart,',was,incorporated,in,the,arms,of,Sir,James,',son,"","",William,"","",Lord,of,Douglas,.}",27,1,23,1,1,"{""INV_BETW_D_[appos son poss]son"",""INV_BETW_L_[appos poss]son"",""INV_BETW_[appos son poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
6035785@8_0-6035785@8_7,6035785@8,Hajji Alejandro-Rachel Alejandro,t,0.97,"{Alejandro,is,also,the,father,of,singer,Rachel,Alejandro,.}",7,2,0,1,1,"{""INV_BETW_[prep_of father nsubj]"",""INV_BETW_D_[prep_of father nsubj]"",""INV_BETW_L_[prep_of nsubj]"",num_words_between_bucket=1}","{0.990748,0.988409,0.932878,0.35506}"
37097401@14_9-37097401@14_13,37097401@14,Danielle Egan-Jack,,0.946,"{On,July,19,"","",2012,it,was,announced,that,Egan,'s,13-year-old,son,Jack,lost,his,fight,with,cancer,.}",13,1,9,1,1,"{INV_BETW_[poss]son,INV_BETW_D_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
2142484@6_0-2142484@6_7,2142484@6,Richard Fateman-Johanna Fateman,t,0.946,"{Richard,Fateman,is,the,father,of,musician,Johanna,Fateman,.}",7,2,0,2,2,"{""INV_BETW_[prep_of father nsubj]"",""INV_BETW_D_[prep_of father nsubj]"",""INV_BETW_L_[prep_of nsubj]"",num_words_between_bucket=1}","{0.990748,0.988409,0.932878,0.35506}"
1430549@107_2-1430549@107_7,1430549@107,Olga Constantinovna of Russia-Constantine,,0.934,"{George,and,Olga,'s,eldest,son,"","",Constantine,"","",became,king,and,his,wife,"","",Sophia,of,Prussia,"","",became,the,new,queen,consort,.}",7,1,2,1,1,"{""INV_BETW_D_[appos son poss]son"",""INV_BETW_[appos son poss]son"",""INV_BETW_L_[appos poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
391101@2_29-391101@2_32,391101@2,Perdiccas II of Macedon-Archelaus,,0.946,"{He,was,the,son,of,Alexander,I,and,had,two,brothers,"","",Alcetas,II,"","",who,had,preceded,Perdiccas,on,the,throne,until,his,murder,at,the,hands,of,Perdiccas,',son,Archelaus,I,resulted,in,Perdiccas,',elevation,"","",and,Philip,.}",32,1,29,1,1,"{INV_BETW_[poss]son,INV_BETW_D_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
376559@6_0-376559@6_3,376559@6,Stephen Kemble-Henry,,0.95,"{Kemble,'s,son,Henry,was,also,an,actor,.}",3,1,0,1,1,"{INV_BETW_D_[poss]son,INV_BETW_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
