relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
406210@38_1-406210@38_19,406210@38,Leo Ryan-Clark,,0.344,"{Congressman,Ryan,went,on,to,note,that,a,parent,of,one,of,these,young,people,had,first,brought,Dr.,Clark,'s,testimony,to,his,attention,.}",1,1,19,1,1,"{num_words_between_bucket=2,dep_path_length>5,NGRAM_1_[one],NGRAM_1_[parent],NGRAM_1_[note],NGRAM_1_[first]}","{-0.689931,-0.250716,0.189943,0.134153,-0.0811719,0.0541216}"
37514146@12_0-37514146@12_19,37514146@12,"Charles Günther, Count of Schwarzburg-Rudolstadt-Louis G",,0.598,"{Charles,G,nther,received,the,part,around,Rudolstadt,"","",Albert,G,nther,received,the,part,around,Ilmenau,"","",and,Louis,G,nther,I,received,the,area,around,Frankenhausen,.}",0,2,19,2,2,"{people_between_bucket=2,num_words_between_bucket=2,dep_path_length>5}","{1.35826,-0.689931,-0.250716}"
400247@299_0-400247@299_2,400247@299,Wyatt Earp-Virgil Earp,t,0.882,"{Wyatt,and,Virgil,Earp,rode,with,the,sheriff,'s,posse,attempting,to,track,the,Bisbee,stage,robbers,"","",and,Wyatt,discovered,an,unusual,boot,heel,print,in,the,mud,.}",0,2,2,2,2,"{WORD_SEQ_[],POS_SEQ_[],""BETW_L_[null null nsubj conj_and]"",num_words_between_bucket=0,dep_path_length>5,people_between_bucket=0}","{1.12775,1.12775,0.32646,-0.275275,-0.250716,-0.000745533}"
21174861@6_9-21174861@6_33,21174861@6,"Francis Baring, 3rd Baron Ashburton-Claire Hortense Maret de Bassano",,0.65,"{He,was,the,father,of,Alexander,Baring,"","",4th,Baron,Ashburton,and,Hon.,Marie,Anne,Louise,Baring,-LRB-,wife,of,William,FitzRoy,"","",6th,Duke,of,Grafton,-RRB-,"","",by,his,French,wife,Claire,Hortense,Maret,de,Bassano,-LRB-,c.,1812-1882,-RRB-,.}",9,2,33,5,5,"{people_between_bucket=2,num_words_between_bucket=3}","{1.35826,-0.730026}"
8555961@29_18-8555961@29_14,8555961@29,Edoardo Ballerini-Austin Pendleton,,0.468,"{Future,projects,include,Gabriel,Judet-Weinshel,'s,``,Omphalos,"","",'',with,Emmanuelle,Chriqui,and,Austin,Pendleton,"","",which,Ballerini,also,produced,"","",``,Hellbenders,'',with,Clifton,Collins,"","",Jr,"","",and,``,Run,"","",'',with,William,Mosely,and,Adrian,Pasdar,.}",18,1,14,2,2,{num_words_between_bucket=0},{-0.275275}
2819523@75_0-2819523@75_30,2819523@75,Robert Sugden-Butler,,0.598,"{Robert,vows,to,get,revenge,on,Andy,"","",and,helps,Jimmy,King,-LRB-,Nick,Miles,-RRB-,and,Cain,Dingle,-LRB-,Jeff,Hordley,-RRB-,"","",set,fire,to,the,barn,at,Butler,'s,Farm,.}",0,1,30,1,1,"{people_between_bucket=2,num_words_between_bucket=3,dep_path_length>5}","{1.35826,-0.730026,-0.250716}"
834604@1_0-834604@1_15,834604@1,Samuel Hui-Sam Hui,,0.672,"{Samuel,Hui,Samuel,Hui,Koon-kit,-LRB-,born,6,September,1948,-RRB-,"","",usually,known,as,Sam,Hui,"","",is,a,Hong,Kong,Cantopop,musician,"","",singer,"","",songwriter,"","",and,actor,.}",0,2,15,2,2,"{people_between_bucket=2,num_words_between_bucket=2}","{1.35826,-0.689931}"
22988433@15_1-22988433@15_17,22988433@15,"Charles Noel, 2nd Earl of Gainsborough-Elizabeth FitzClarence",,0.664,"{Lord,Gainsborough,married,Ida,Harriet,Augusta,"","",daughter,of,William,Hay,"","",18th,Earl,of,Erroll,and,Elizabeth,FitzClarence,"","",illegitimate,daughter,of,King,William,IV,"","",in,1841,.}",1,1,17,2,2,"{people_between_bucket=2,num_words_between_bucket=2,dep_path_length>5,negative_dict_word}","{1.35826,-0.689931,-0.250716,0.12435}"
14517970@3_10-14517970@3_15,14517970@3,"Richard Verney, 19th Baron Willoughby de Broke-Geraldine Smith-Barry",,0,"{Verney,was,the,son,of,Colonel,Henry,Verney,"","",18th,Baron,Willoughby,de,Broke,and,Geraldine,Smith-Barry,and,educated,at,Eton,College,and,New,College,"","",Oxford,.}",10,4,15,2,2,"{num_words_between_bucket=0,""BETW_L_[conj_and conj_and]"",people_between_bucket=0}","{-0.275275,0.00134408,-0.000745533}"
6706409@79_5-6706409@79_36,6706409@79,Sébastien Squillaci-Laurent Koscielny,,0.67,"{On,17,February,2012,"","",Squillaci,came,on,as,an,early,substitute,in,Arsenal,'s,fifth,round,FA,Cup,game,at,Sunderland,"","",after,Francis,Coquelin,sustained,an,injury,"","",with,regular,defenders,Per,Mertesacker,and,Laurent,Koscielny,already,missing,through,injury,.}",5,1,36,2,2,"{people_between_bucket=2,num_words_between_bucket=3}","{1.35826,-0.730026}"
5437748@216_22-5437748@216_8,5437748@216,Keith Ellison-Ellison,f,0.352,"{Washington,Post,Staff,Writer,Alan,Cooperman,said,that,Ellison,'s,articles,``,defended,Farrakhan,against,accusations,of,anti-semitism,"","",'',and,that,Ellison,``,called,affirmative,action,a,`,sneaky,',form,of,compensation,for,slavery,"","",suggesting,instead,that,white,Americans,pay,reparations,to,blacks,.,''}",22,1,8,1,1,{num_words_between_bucket=2},{-0.689931}
19903@422_26-19903@422_7,19903@422,Marlon Brando-Brando,f,0.32,"{Production,was,suspended,in,July,2004,following,Brando,'s,death,"","",at,which,time,Behi,stated,that,he,would,continue,the,film,as,an,homage,to,Brando,"","",with,a,new,title,of,``,Citizen,Brando,'',.}",26,1,7,1,1,{num_words_between_bucket=2},{-0.689931}
23589385@15_9-23589385@15_29,23589385@15,Jeff Colyer-Adam Taff,,0.34,"{In,the,2002,U.S.,House,of,Representatives,elections,"","",Colyer,was,an,unsuccessful,candidate,for,the,Republican,nomination,in,Kansas,'s,3rd,congressional,district,;,he,was,defeated,by,Adam,Taff,"","",who,lost,the,general,election,to,incumbent,Democrat,Dennis,Moore,.}",9,1,29,2,2,"{num_words_between_bucket=2,NGRAM_1_['s],NGRAM_1_[candidate],NGRAM_1_[defeat],NGRAM_1_[3rd],NGRAM_1_[district]}","{-0.689931,0.134449,0.124079,-0.100114,-0.0843936,0.0543461}"
28377103@50_5-28377103@50_0,28377103@50,Melvin Rees-Moser,,0.426,"{Moser,explained,that,he,and,Rees,often,engaged,in,heady,philosophical,conversations,"","",one,of,which,had,been,about,whether,murder,could,be,considered,acceptable,.}",5,1,0,1,1,{num_words_between_bucket=0},{-0.275275}
5531806@7_0-5531806@7_8,5531806@7,Eino Rahja-Jaakko Rahja,,0.726,"{Eino,was,a,brother,of,Jukka,Rahja,and,Jaakko,Rahja,.}",0,1,8,2,2,"{people_between_bucket=2,num_words_between_bucket=1}","{1.35826,-0.46944}"
3077944@2_0-3077944@2_6,3077944@2,"Henry Cavendish, 2nd Duke of Newcastle-William Cavendish",,0.438,"{Cavendish,was,the,only,son,of,William,Cavendish,"","",1st,Duke,of,Newcastle-upon-Tyne,and,his,first,wife,"","",Elizabeth,Basset,.}",0,1,6,2,2,"{""BETW_L_[nsubj prep_of]"",num_words_between_bucket=1,""BETW_[nsubj son prep_of]"",""BETW_D_[nsubj son prep_of]"",NGRAM_1_[son],people_between_bucket=0}","{0.812207,-0.46944,-0.264308,-0.264308,-0.0783194,-0.000745533}"
8296500@16_5-8296500@16_9,8296500@16,Nikolay Yazykov-Khomyakov,,0.586,"{In,1931,the,remains,of,Yazykov,"","",Gogol,and,Khomyakov,were,reburied,at,the,Novodevichy,Cemetery,.}",5,1,9,1,1,"{people_between_bucket=1,num_words_between_bucket=0}","{0.559509,-0.275275}"
7690607@2_7-7690607@2_24,7690607@2,Chuck Garric-Don Felder,,0.576,"{The,current,bassist,for,Alice,Cooper,"","",Chuck,Garric,has,played,Bass,guitar,for,Billy,Bob,Thornton,"","",Cheap,Trick,"","",Ted,Nugent,"","",Don,Felder,and,Journey,at,the,Alice,Cooper,Christmas,Pudding,for,the,past,three,years,.}",7,2,24,2,2,"{people_between_bucket=2,num_words_between_bucket=2,dep_path_length>5}","{1.35826,-0.689931,-0.250716}"
17368381@33_32-17368381@33_20,17368381@33,Mary Rogers-Marie Rog,,0.348,"{-LSB-,-LSB-,File,:,Mystery,of,Marie,Roget.jpg,|,thumb,|,right,|,1853,illustration,for,``,The,Mystery,of,Marie,Rog,t,'',"","",a,story,inspired,by,the,death,of,Mary,Rogers,.,-RSB-,-RSB-}",32,2,20,2,2,{num_words_between_bucket=2},{-0.689931}
2594640@6_11-2594640@6_6,2594640@6,Ken Kirzinger-Ronny Yu,,0.44,"{``,Freddy,vs.,Jason,'',director,Ronny,Yu,tried,to,limit,Kirzinger,'s,stunts,on,the,film,as,much,as,possible,.}",11,1,6,2,2,{num_words_between_bucket=0},{-0.275275}
7973225@15_3-7973225@15_23,7973225@15,Bo Pelini-George Seifert,,0.394,"{In,1994,"","",Pelini,got,his,first,position,in,the,National,Football,League,when,he,was,hired,by,San,Francisco,49ers,head,coach,George,Seifert,as,a,scouting,assistant,.}",3,1,23,2,2,"{num_words_between_bucket=2,""BETW_L_[nsubj advcl agent]"",NGRAM_1_[head],NGRAM_1_[first],NGRAM_1_[coach],NGRAM_1_[get]}","{-0.689931,0.0996273,0.0657608,0.0541216,0.041728,0.0112811}"
24921479@28_0-24921479@28_15,24921479@28,Thumbtack Jack-Sami,,0.634,"{Jack,'s,second,round,opponent,would,be,Sami,Callihan,as,they,faced,one,another,for,Sami,'s,Ultraviolent,Underground,Championship,"","",which,would,be,on,the,line,throughout,the,whole,night,.}",0,1,15,1,1,"{people_between_bucket=2,num_words_between_bucket=2,dep_path_length>5}","{1.35826,-0.689931,-0.250716}"
39740405@12_0-39740405@12_12,39740405@12,Hossein Namazi-Tahmasb Mazaheri,,0.296,"{Namazi,'s,term,ended,in,August,2001,and,he,was,replaced,by,Tahmasb,Mazaheri,in,the,post,.}",0,1,12,2,2,"{num_words_between_bucket=2,dep_path_length>5,NGRAM_1_['s],NGRAM_1_[replace],NGRAM_1_[term],NGRAM_1_[end]}","{-0.689931,-0.250716,0.134449,-0.0721462,-0.0486275,0.0480936}"
4339137@5_0-4339137@5_30,4339137@5,Tyrone Crawley-Carter,,0,"{Tyrone,turned,pro,in,October,1980,and,won,the,ESPN,lightweight,title,in,only,his,ninth,pro,fight,with,a,twelve,round,decision,over,knockout,puncher,Al,``,Earthquake,'',Carter,in,September,1982,.}",0,1,30,1,1,"{num_words_between_bucket=3,dep_path_length>5,NGRAM_1_[win],NGRAM_1_[1980],NGRAM_1_[title],NGRAM_1_[round]}","{-0.730026,-0.250716,-0.179487,-0.0841745,-0.081977,-0.0472138}"
4995125@26_11-4995125@26_7,4995125@26,Matthew Gray Gubler-Steve Zissou,,0.432,"{While,making,``,The,Life,Aquatic,with,Steve,Zissou,'',"","",Gubler,made,a,documentary,entitled,``,Matthew,Gray,Gubler,'s,Life,Aquatic,Intern,Journal,'',"","",a,behind-the-scenes,view,of,the,making,of,the,film,"","",which,was,later,included,in,The,Criterion,Collection,DVD,release,.}",11,1,7,2,2,{num_words_between_bucket=0},{-0.275275}
5900642@9_3-5900642@9_20,5900642@9,James Arthur Williams-Johnny Mercer,,0.582,"{In,1969,"","",Williams,purchased,a,home,originally,built,for,General,Hugh,Weedon,Mercer,"","",great-grandfather,of,famed,American,songwriter,Johnny,Mercer,.}",3,1,20,2,2,"{people_between_bucket=2,num_words_between_bucket=2,dep_path_length>5}","{1.35826,-0.689931,-0.250716}"
3550204@30_0-3550204@30_11,3550204@30,Laxmanrao Kirloskar-Shantanu Kirloskar,,0.678,"{Laxmanrao,was,married,to,Radhabhai,Kirloskar,and,had,four,children,"","",Shantanu,Kirloskar,"","",Rajaram,kirloskar,"","",Prabhakar,kirloskar,"","",Ravindra,-LRB-,Ravi,-RRB-,kirloskar,.}",0,1,11,2,2,"{people_between_bucket=2,num_words_between_bucket=2,negative_dict_word}","{1.35826,-0.689931,0.12435}"
20333912@26_0-20333912@26_10,20333912@26,Gilean Douglas-Eric Altherr,,0.424,"{Douglas,',third,marriage,"","",to,a,chemical,engineer,"","",Eric,Altherr,"","",lasted,3,years,"","",until,both,parties,became,involved,with,other,people,.}",0,1,10,2,2,"{num_words_between_bucket=1,NGRAM_1_[third],NGRAM_1_[marriage],NGRAM_1_[engineer],NGRAM_1_[chemical],""BETW_L_[poss prep_to appos]""}","{-0.46944,0.0961934,-0.0633899,-0.0309089,-0.0081959,-0.00162551}"
4785777@13_3-4785777@13_5,4785777@13,Tom Colten-Charles E. Maple,,0.278,"{In,1960,"","",Colten,named,Charles,E.,Maple,as,news,editor,of,both,the,``,Press,'',and,the,``,Herald,'',.}",3,1,5,3,3,"{NGRAM_1_[name],num_words_between_bucket=0,""BETW_L_[nsubj dobj]"",""BETW_D_[nsubj name dobj]"",""BETW_[nsubj name dobj]"",people_between_bucket=0}","{-0.296782,-0.275275,-0.253662,0.023307,0.023307,-0.000745533}"
13229417@1_0-13229417@1_27,13229417@1,Carlos Sampayo-Jos Mu,,0.586,"{Carlos,Sampayo,Carlos,Sampayo,-LRB-,born,17,September,1943,-RRB-,is,an,Argentine,writer,best,known,for,his,work,in,comics,"","",particularly,in,collaboration,with,artist,Jos,Mu,oz,.}",0,2,27,2,2,"{people_between_bucket=2,num_words_between_bucket=3,dep_path_length>5}","{1.35826,-0.730026,-0.250716}"
39268206@11_25-39268206@11_9,39268206@11,Hutch Harris-Kathy Foster,,0.326,"{The,original,live,line-up,of,The,Thermals,consisted,of,Kathy,Foster,on,bass,"","",Jordan,Hudson,on,drums,"","",Ben,Barnett,on,guitar,"","",and,Harris,on,lead,vocals,.}",25,1,9,2,2,{num_words_between_bucket=2},{-0.689931}
2288879@1_0-2288879@1_17,2288879@1,Marco Basaiti-Giovanni Bellini,,0.596,"{Marco,Basaiti,Marco,Basaiti,-LRB-,c.,1470,1530,-RRB-,was,a,Venetian,painter,and,a,rival,of,Giovanni,Bellini,.}",0,2,17,2,2,"{people_between_bucket=2,num_words_between_bucket=2,dep_path_length>5}","{1.35826,-0.689931,-0.250716}"
22780896@8_4-22780896@8_2,22780896@8,Jennifer Freyd-Smith,,0.422,"{Together,"","",Smith,and,Freyd,developed,the,Institutional,Betrayal,Questionnaire,"","",now,in,its,second,edition,"","",to,measure,institutional,betrayal,across,a,variety,of,institutional,contexts,.}",4,1,2,1,1,{num_words_between_bucket=0},{-0.275275}
40057404@21_0-40057404@21_14,40057404@21,Karen Pritzker-Allison Schwartz,,0.232,"{Pritzker,produced,the,documentary,``,The,Big,Picture,'',which,profiled,her,daughter,"","",Allison,Schwartz,"","",who,was,diagnosed,with,dyslexia,at,the,age,of,23,.}",0,1,14,2,2,"{num_words_between_bucket=2,dep_path_length>5,NGRAM_1_[daughter],NGRAM_1_[produce],NGRAM_1_[documentary],""BETW_L_[nsubj dobj dep appos]""}","{-0.689931,-0.250716,-0.127515,-0.110578,-0.0310552,0.010407}"
255104@63_0-255104@63_4,255104@63,Nancy Spungen-Deborah,,0.63,"{Spungen,'s,mother,"","",Deborah,"","",wrote,the,memoir,``,And,I,Do,n't,Want,to,Live,This,Life,'',-LRB-,1983,-RRB-,.}",0,1,4,1,1,"{""BETW_L_[poss appos]"",num_words_between_bucket=0,NGRAM_1_['s],negative_dict_word,NGRAM_1_[mother],""BETW_D_[poss mother appos]""}","{0.719553,-0.275275,0.134449,0.12435,-0.111636,-0.0416096}"
36579800@30_5-36579800@30_9,36579800@30,Lily Zhang-Cornelia Molnar,,0.326,"{In,the,first,round,"","",Zhang,drew,Croatian,veteran,Cornelia,Molnar,and,lost,in,straight,games,-LRB-,11-6,"",11"",""-8,11"",""-7,11"",-5,-RRB-,.}",5,1,9,2,2,"{num_words_between_bucket=0,""BETW_L_[nsubj dobj]"",NGRAM_1_[draw],NGRAM_1_[veteran],NGRAM_1_[croatian],""NGRAM_3_[draw croatian veteran]""}","{-0.275275,-0.253662,-0.0572309,-0.0229704,-0.00370376,-0.00201976}"
7495207@67_19-7495207@67_15,7495207@67,Lynne Kosky-Rob Hulls,,0.408,"{Kosky,refused,"","",the,Labor,Party,rejected,the,calls,for,her,resignation,and,acting,Premier,Rob,Hulls,said,that,Kosky,had,been,doing,a,good,job,.}",19,1,15,2,2,{num_words_between_bucket=0},{-0.275275}
37702667@37_5-37702667@37_7,37702667@37,Baby Lloyd Stallworth-Bobby Byrd,,0.664,"{In,2002,"","",Flames,members,Stallworth,"","",Bobby,Byrd,"","",and,Bobby,Bennett,"","",along,with,band,member,Fred,Wesley,"","",retained,Richard,Yellen,"","",an,attorney,"","",to,commence,legal,proceedings,against,James,Brown,for,alleged,non-payment,of,royalties,.}",5,1,7,2,2,"{BETW_[conj_and],BETW_L_[conj_and],BETW_D_[conj_and],num_words_between_bucket=0,people_between_bucket=0}","{0.329904,0.329482,0.329242,-0.275275,-0.000745533}"
39624154@59_10-39624154@59_0,39624154@59,Chester Alan Arthur II-Myra,,0.388,"{Myra,gave,birth,to,a,daughter,"","",named,Ellen,for,Arthur,'s,mother,and,sister,"","",but,she,did,not,survive,.}",10,1,0,1,1,{num_words_between_bucket=1},{-0.46944}
34421836@1_1-34421836@1_32,34421836@1,Paulo Roberto Marqués Roris-ElPozo Murcia,,0.6,"{Paulo,Roberto,Marqu,s,Roris,Paulo,Roberto,Marqu,s,Roris,-LRB-,born,12,August,1967,-RRB-,is,a,former,Brazilian,born,"","",Spanish,futsal,player,"","",best,known,for,his,spell,with,ElPozo,Murcia,as,a,Pivot,.}",1,2,32,2,2,"{people_between_bucket=2,num_words_between_bucket=3,dep_path_length>5}","{1.35826,-0.730026,-0.250716}"
40888399@41_35-40888399@41_21,40888399@41,Wilfred Talbot Smith-Crowley,,0.302,"{Jones,himself,claimed,that,he,had,undergone,a,``,Great,Initiation,'',and,was,now,an,Ipsissimus,;,his,relationship,with,Crowley,broke,down,"","",and,he,subsequently,resigned,from,the,OTO,"","",deeply,disappointing,Smith,.}",35,1,21,1,1,{num_words_between_bucket=2},{-0.689931}
25465167@1_1-25465167@1_6,25465167@1,Princess Marie Frederica of Hesse-Kassel-Marie Frederica Wilhelmina,,0.25,"{Princess,Marie,Frederica,of,Hesse-Kassel,Princess,Marie,Frederica,Wilhelmina,of,Hesse-Kassel,-LRB-,6,September,1804,1,January,1888,-RRB-,was,a,daughter,of,William,II,"","",Elector,of,Hesse,and,Princess,Augusta,of,Prussia,.}",1,2,6,3,3,"{BETW_L_[prep_of],BETW_[prep_of],BETW_D_[prep_of],num_words_between_bucket=0,people_between_bucket=0}","{-0.318924,-0.318924,-0.318924,-0.275275,-0.000745533}"
6986859@50_28-6986859@50_5,6986859@50,Andrey Kozlov-Frenkel,,0.35,"{According,to,the,prosecution,"","",Frenkel,organized,the,murder,after,his,bank,"","",VIP-Bank,"","",lost,its,license,on,June,16,"","",2006,by,Kozlov,'s,decision,-LRB-,Kozlov,accused,the,bank,of,money,laundering,-RRB-,.}",28,1,5,1,1,{num_words_between_bucket=3},{-0.730026}
34204116@9_4-34204116@9_27,34204116@9,Yang Mu-William Wordsworth,,0.27,"{At,that,time,"","",Yang,Mu,exposed,himself,to,British,romantic,poetry,and,was,directly,influenced,by,some,defining,members,of,the,English,Romantic,Movement,"","",like,William,Wordsworth,"","",Lord,Byron,"","",Percy,Bysshe,Shelley,and,John,Keats,.}",4,2,27,2,2,"{num_words_between_bucket=3,dep_path_length>5,NGRAM_1_[influence],NGRAM_1_[like],NGRAM_1_[british],NGRAM_1_[member]}","{-0.730026,-0.250716,0.0557049,-0.0553002,-0.0533866,0.046805}"
2509651@12_11-2509651@12_17,2509651@12,Matilda Sissieretta Joyner Jones-Adelina Patti,,0.252,"{During,a,performance,at,Wallack,'s,Theater,in,New,York,"","",Jones,came,to,the,attention,of,Adelina,Patti,'s,manager,"","",who,recommended,that,Jones,tour,the,West,Indies,with,the,Fisk,Jubilee,Singers,.}",11,1,17,2,2,"{num_words_between_bucket=1,NGRAM_1_[come],dep_path_length>5,NGRAM_1_[attention],""BETW_[nsubj come prep_to attention prep_of manager poss]"",""BETW_D_[nsubj come prep_to attention prep_of manager poss]""}","{-0.46944,-0.264065,-0.250716,-0.0198841,-0.00259598,-0.00259598}"
20782880@66_0-20782880@66_5,20782880@66,Andrew Laszlo-Ed Sullivan,,0.426,"{Andrew,took,on,this,``,Ed,Sullivan,'',production,with,trepidation,and,excitement,since,it,would,be,the,first,extremely,large,rock,concert,to,be,filmed,for,television,.}",0,1,5,2,2,"{num_words_between_bucket=0,NGRAM_1_[take],""BETW_L_[nsubj dobj nn]"",""BETW_D_[nsubj take dobj production nn]"",""BETW_[nsubj take dobj production nn]"",people_between_bucket=0}","{-0.275275,-0.128088,-0.027259,0.00422361,0.00422361,-0.000745533}"
5730445@2_0-5730445@2_10,5730445@2,Ernst Middendorp-Albena,,0.306,"{Middendorp,is,also,the,owner,of,a,football,consultancy,"","",Albena,GmbH,.}",0,1,10,1,1,"{num_words_between_bucket=1,dep_path_length>5,NGRAM_1_[also],NGRAM_1_[owner],NGRAM_1_[football],NGRAM_1_[consultancy]}","{-0.46944,-0.250716,-0.0677508,-0.0611638,0.0172204,-0.00556147}"
353030@6_0-353030@6_17,353030@6,Naoya Shiga-Uchimura Kanz,,0.396,"{Shiga,'s,relationship,with,his,father,became,increasingly,strained,after,the,former,was,converted,to,Christianity,by,Uchimura,Kanz,"","",began,advocating,social,causes,and,attempted,to,participate,in,protests,in,1901,over,the,Ashio,Copper,Mine,"","",which,polluted,an,adjacent,river,and,poisoned,local,inhabitants,.}",0,1,17,2,2,"{num_words_between_bucket=2,NGRAM_1_[former],dep_path_length>5,NGRAM_1_['s],NGRAM_1_[father],negative_dict_word}","{-0.689931,0.346704,-0.250716,0.134449,-0.124601,0.12435}"
26591313@10_0-26591313@10_15,26591313@10,D. Ramirez-Robert Owens,,0.42,"{Ramirez,&,Friends,EP,',"","",which,features,collaborations,with,the,likes,of,Kristoph,and,Robert,Owens,.}",0,1,15,2,2,"{num_words_between_bucket=2,people_between_bucket=1,dep_path_length>5}","{-0.689931,0.559509,-0.250716}"
294968@35_32-294968@35_8,294968@35,Robert Sward-Robert Bly,,0.32,"{Of,``,Rosicrucian,in,the,Basement,'',"","",Robert,Bly,writes,"","",`,There,are,many,mysteries,between,father,and,son,that,people,do,n't,talk,about,...,There,'s,much,leaping,Sward,'s,poetry,"","",but,each,line,"","",so,to,speak,"","",steps,on,something,solid,.,'}",32,1,8,2,2,"{num_words_between_bucket=3,negative_dict_word}","{-0.730026,0.12435}"
1874@23_12-1874@23_6,1874@23,Absalon-Asser,,0.376,"{On,Good,Friday,1158,"","",bishop,Asser,of,Roskilde,died,"","",and,Absalon,was,eventually,elected,bishop,of,Roskilde,on,Zealand,with,the,help,of,Valdemar,"","",as,the,king,'s,reward,for,the,``,Hvide,'',family,support,.}",12,1,6,1,1,{num_words_between_bucket=1},{-0.46944}
