relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
1900005@11_5-1900005@11_9,1900005@11,Tommy Emmanuel-Phil,,0.906,"{Recognizing,the,musical,talents,of,Tommy,and,his,brother,Phil,"","",their,father,created,a,family,band,"","",sold,the,family,home,and,took,his,family,on,the,road,.}",5,1,9,1,1,"{NGRAM_1_[brother],num_words_between_bucket=0,people_between_bucket=0,BETW_[conj_and],BETW_D_[conj_and],BETW_L_[conj_and]}","{3.54997,-0.689348,-0.374931,0.365005,0.364122,0.363277}"
13891378@7_0-13891378@7_5,13891378@7,Carl Abrahamsson-Erik Abrahamsson,,0.954,"{Abrahamsson,'s,younger,brother,"","",Erik,Abrahamsson,"","",started,playing,ice,hockey,in,1921,and,played,with,AIK,and,IFK,Stockholm,"","",and,also,in,the,Swedish,national,ice,hockey,team,.}",0,1,5,2,2,"{NGRAM_1_[brother],NGRAM_1_[younger],num_words_between_bucket=0,""BETW_L_[poss appos]"",people_between_bucket=0,""NGRAM_2_[younger brother]""}","{3.54997,0.766178,-0.689348,0.420776,-0.374931,0.255212}"
1305769@26_3-1305769@26_8,1305769@26,Richard Taverner-Roger Taverner,,0.93,"{The,eldest,of,Richard,'s,younger,brothers,"","",Roger,Taverner,-LRB-,d.,1572,-RRB-,"","",was,a,surveyor,and,writer,"","",and,Richard,'s,second,son,Peter,"","",who,established,himself,at,Hexton,"","",Hertfordshire,"","",fathered,John,Taverner,-LRB-,1584,1638,-RRB-,"","",an,Anglican,clergyman,.}",3,1,8,2,2,"{NGRAM_1_[brother],NGRAM_1_[younger],num_words_between_bucket=0,""BETW_L_[poss appos]"",people_between_bucket=0,""NGRAM_2_[younger brother]""}","{3.54997,0.766178,-0.689348,0.420776,-0.374931,0.255212}"
1451892@70_1-1451892@70_8,1451892@70,James Prinsep-Henry Thoby Prinsep,,0.904,"{After,James,Prinsep,'s,death,"","",his,brother,Henry,Thoby,Prinsep,published,in,1844,a,volume,exploring,the,numismatist,'s,work,on,collections,made,from,Afghanistan,.}",1,2,8,3,3,"{NGRAM_1_[brother],num_words_between_bucket=1,people_between_bucket=0,NGRAM_1_[death],""NGRAM_2_['s death]"",""BETW_L_[poss prep_after nsubj]""}","{3.54997,-0.867132,-0.374931,0.258556,0.227712,0.171128}"
882486@9_18-882486@9_23,882486@9,Theo Albrecht-Karl,,0.902,"{His,utilization,of,a,low-cost,business,model,revolutionized,the,German,grocery,market,in,combination,with,his,brother,s.,Theo,Albrecht,and,his,brother,Karl,formed,the,supermarket,on,the,foundations,of,their,mother,s,small,grocery,store,.}",18,2,23,1,1,"{NGRAM_1_[brother],num_words_between_bucket=0,people_between_bucket=0,BETW_[conj_and],BETW_D_[conj_and],BETW_L_[conj_and]}","{3.54997,-0.689348,-0.374931,0.365005,0.364122,0.363277}"
938519@59_0-938519@59_7,938519@59,Pang Tong-Pang Lin,,0.97,"{Pang,Tong,had,a,younger,brother,"","",Pang,Lin,-LRB-,-RRB-,"","",who,served,as,an,Assistant,Officer,in,Jing,Province,'s,Headquarters,Office,-LRB-,-RRB-,.}",0,2,7,2,2,"{NGRAM_1_[brother],num_words_between_bucket=1,NGRAM_1_[younger],""BETW_L_[nsubj dobj appos]"",people_between_bucket=0,""NGRAM_2_[younger brother]""}","{3.54997,-0.867132,0.766178,0.520329,-0.374931,0.255212}"
3439750@28_0-3439750@28_10,3439750@28,Ashton Sims-Tariq,,0.906,"{Sims,moved,to,North,Queensland,with,his,younger,brother,"","",Tariq,"","",who,had,played,in,the,Broncos,',Under-20s,team,.}",0,1,10,1,1,"{NGRAM_1_[brother],num_words_between_bucket=1,NGRAM_1_[younger],people_between_bucket=0,""NGRAM_2_[younger brother]"",NGRAM_1_[move]}","{3.54997,-0.867132,0.766178,-0.374931,0.255212,-0.181137}"
37052837@9_0-37052837@9_3,37052837@9,Paul Feinberg-John,,0.91,"{Paul,'s,brother,John,-LRB-,born,1946,-RRB-,serves,as,the,chair,of,the,Department,of,Biblical,and,Systematic,Theology,at,Trinity,Evangelical,Divinity,School,.}",0,1,3,1,1,"{NGRAM_1_[brother],num_words_between_bucket=0,""NGRAM_2_['s brother]"",people_between_bucket=0,BETW_D_[poss],BETW_L_[poss]}","{3.54997,-0.689348,0.377358,-0.374931,0.205387,0.204318}"
7795100@6_0-7795100@6_4,7795100@6,Braggo Roth-Frank,,0.926,"{Roth,'s,brother,"","",Frank,"","",was,fourteen,years,older,than,Bobby,.}",0,1,4,1,1,"{NGRAM_1_[brother],num_words_between_bucket=0,""BETW_L_[poss appos]"",""NGRAM_2_['s brother]"",people_between_bucket=0,""BETW_[poss brother appos]""}","{3.54997,-0.689348,0.420776,0.377358,-0.374931,0.223824}"
17652@290_0-17652@290_5,17652@290,Lee Harvey Oswald-Robert,,0.918,"{Oswald,also,declined,his,brother,Robert,'s,offer,on,Saturday,to,obtain,a,local,attorney,.}",0,1,5,1,1,"{NGRAM_1_[brother],num_words_between_bucket=0,people_between_bucket=0,NGRAM_1_[also],""BETW_L_[nsubj dobj poss]"",NGRAM_1_[decline]}","{3.54997,-0.689348,-0.374931,0.204314,-0.0529491,-0.0383949}"
21533161@25_2-21533161@25_7,21533161@25,"Carl Rudolf, Duke of Württemberg-Neuenstadt-Frederick August",,0.92,"{In,1716,Carl,Rudolf,'s,eldest,brother,Frederick,August,died,.}",2,2,7,2,2,"{NGRAM_1_[brother],num_words_between_bucket=0,people_between_bucket=0,BETW_D_[poss],BETW_L_[poss],BETW_[poss]}","{3.54997,-0.689348,-0.374931,0.205387,0.204318,0.204118}"
214928@9_0-214928@9_4,214928@9,Aileen Wuornos-Keith,,0.932,"{Aileen,'s,older,brother,Keith,was,born,on,March,14,"","",1955,.}",0,1,4,1,1,"{NGRAM_1_[brother],num_words_between_bucket=0,NGRAM_1_[older],people_between_bucket=0,BETW_D_[poss],BETW_L_[poss]}","{3.54997,-0.689348,0.624632,-0.374931,0.205387,0.204318}"
26986377@15_0-26986377@15_3,26986377@15,Erik Surjan-Jacob Surjan,t,0.972,"{Erik,'s,brother,Jacob,Surjan,plays,in,the,Australian,Football,League,-LRB-,AFL,-RRB-,with,the,Port,Adelaide,Football,Club,.}",0,1,3,2,2,"{NGRAM_1_[brother],num_words_between_bucket=0,""NGRAM_2_['s brother]"",people_between_bucket=0,BETW_D_[poss],BETW_L_[poss]}","{3.54997,-0.689348,0.377358,-0.374931,0.205387,0.204318}"
24719671@13_0-24719671@13_6,24719671@13,J. R. Celski-Chris,,0.926,"{Celski,has,two,older,brothers,"","",Chris,and,David,;,David,serves,as,Captain,in,the,United,States,Army,"","",and,Chris,is,a,salesperson,at,Nordstrom,.}",0,1,6,1,1,"{NGRAM_1_[brother],num_words_between_bucket=1,NGRAM_1_[older],""BETW_L_[nsubj dobj appos]"",people_between_bucket=0,""NGRAM_2_[older brother]""}","{3.54997,-0.867132,0.624632,0.520329,-0.374931,0.188837}"
4135745@11_0-4135745@11_13,4135745@11,Susan Stern-Roger,,0.968,"{Stern,was,the,elder,of,two,children,"","",her,younger,brother,is,named,Roger,.}",0,1,13,1,1,"{NGRAM_1_[brother],num_words_between_bucket=2,NGRAM_1_[younger],NGRAM_1_[child],people_between_bucket=0,""NGRAM_2_[younger brother]""}","{3.54997,-1.08131,0.766178,0.678312,-0.374931,0.255212}"
10332371@8_30-10332371@8_36,10332371@8,Albert Ernest Kitson-John -RRB- Sidney,,0.912,"{John,died,of,angina,in,1879,and,so,until,her,death,in,1898,Margaret,took,over,the,running,of,the,school,which,was,attended,by,both,her,surviving,children,-,Albert,and,his,younger,brother,-LRB-,John,-RRB-,Sidney,.}",30,1,36,3,3,"{NGRAM_1_[brother],num_words_between_bucket=1,NGRAM_1_[younger],people_between_bucket=0,""NGRAM_2_[younger brother]"",""BETW_L_[conj_and conj_and]""}","{3.54997,-0.867132,0.766178,-0.374931,0.255212,0.190872}"
12485421@20_0-12485421@20_11,12485421@20,Marie Juchacz-Otto Gohlke,,0.918,"{Marie,had,been,introduced,to,politics,by,her,older,brother,"","",Otto,Gohlke,"","",who,in,the,later,1890s,had,encouraged,her,to,read,popular,political,works,of,the,time,such,as,``,Die,Waffen,nieder,!,''}",0,1,11,2,2,"{NGRAM_1_[brother],num_words_between_bucket=2,NGRAM_1_[older],people_between_bucket=0,""NGRAM_2_[older brother]"",""BETW_L_[nsubjpass agent appos]""}","{3.54997,-1.08131,0.624632,-0.374931,0.188837,-0.060598}"
5867872@16_0-5867872@16_6,5867872@16,Gerardo García León-Edu Garc,,0.928,"{Gerardo,'s,two,older,brothers,"","",Edu,Garc,a,-LRB-,born,1969,-RRB-,and,Mois,s,-LRB-,1971,-RRB-,"","",were,also,professional,footballers,.}",0,1,6,2,2,"{NGRAM_1_[brother],num_words_between_bucket=1,NGRAM_1_[older],people_between_bucket=0,""NGRAM_2_[older brother]"",NGRAM_1_[two]}","{3.54997,-0.867132,0.624632,-0.374931,0.188837,0.125691}"
13006996@6_0-13006996@6_3,13006996@6,Don Otten-Mac Otten,,0.906,"{Don,'s,brother,Mac,Otten,also,played,in,the,NBA,.}",0,1,3,2,2,"{NGRAM_1_[brother],num_words_between_bucket=0,""NGRAM_2_['s brother]"",people_between_bucket=0,BETW_D_[poss],BETW_L_[poss]}","{3.54997,-0.689348,0.377358,-0.374931,0.205387,0.204318}"
68064@126_4-68064@126_8,68064@126,Grand Duchess Tatiana Nikolaevna of Russia-Olga,,0.908,"{Chebotareva,also,described,how,Tatiana,and,her,sister,Olga,made,excuses,to,come,to,the,hospital,to,see,Volodia,.}",4,1,8,1,1,"{NGRAM_1_[sister],num_words_between_bucket=0,people_between_bucket=0,BETW_[conj_and],BETW_D_[conj_and],BETW_L_[conj_and]}","{2.77679,-0.689348,-0.374931,0.365005,0.364122,0.363277}"
255104@22_0-255104@22_14,255104@22,Nancy Spungen-Susan,,0.934,"{Spungen,was,a,temperamental,child,who,exhibited,violent,behavior,toward,her,younger,sister,"","",Susan,"","",but,was,very,caring,towards,her,younger,brother,"","",David,.}",0,1,14,1,1,"{NGRAM_1_[sister],num_words_between_bucket=2,NGRAM_1_[younger],NGRAM_1_[child],dep_path_length>5,people_between_bucket=0}","{2.77679,-1.08131,0.766178,0.678312,-0.516699,-0.374931}"
26770025@3_0-26770025@3_5,26770025@3,"Juan Camarillo, Jr.-Adolfo Camarillo",,0.964,"{Juan,and,his,younger,brother,Adolfo,Camarillo,lived,in,Casa,Camarillo,"","",and,were,involved,in,the,mercantile,business,.}",0,1,5,2,2,"{NGRAM_1_[brother],NGRAM_1_[younger],num_words_between_bucket=0,people_between_bucket=0,BETW_[conj_and],BETW_D_[conj_and]}","{3.54997,0.766178,-0.689348,-0.374931,0.365005,0.364122}"
30732827@4_0-30732827@4_4,30732827@4,Ellis Gibbons-Edward,,0.952,"{Ellis,'s,older,brother,Edward,-LRB-,1568,1650,-RRB-,became,master,of,the,choristers,at,Cambridge,.}",0,1,4,1,1,"{NGRAM_1_[brother],num_words_between_bucket=0,NGRAM_1_[older],people_between_bucket=0,BETW_D_[poss],BETW_L_[poss]}","{3.54997,-0.689348,0.624632,-0.374931,0.205387,0.204318}"
27078566@11_0-27078566@11_8,27078566@11,Karl Jeno Schmid-Kristian Schmid,,0.964,"{Schmid,is,the,younger,brother,of,Australian,actor,Kristian,Schmid,.}",0,1,8,2,2,"{NGRAM_1_[brother],num_words_between_bucket=1,""BETW_L_[nsubj prep_of]"",NGRAM_1_[younger],people_between_bucket=0,""BETW_D_[nsubj brother prep_of]""}","{3.54997,-0.867132,0.832732,0.766178,-0.374931,0.315299}"
39213072@137_3-39213072@137_8,39213072@137,Matthew Piers Watt Boulton-Montagu Boulton,,0.948,"{Somewhat,intriguingly,"","",Boulton,'s,younger,brother,"","",Montagu,Boulton,-LRB-,1824,1849,-RRB-,"","",was,admitted,to,Cambridge,University,'s,Inner,Temple,-LRB-,a,law,society,-RRB-,as,``,Matthew,Bolton,'',in,October,1844,.}",3,1,8,2,2,"{NGRAM_1_[brother],NGRAM_1_[younger],num_words_between_bucket=0,""BETW_L_[poss appos]"",people_between_bucket=0,""NGRAM_2_[younger brother]""}","{3.54997,0.766178,-0.689348,0.420776,-0.374931,0.255212}"
142556@33_3-142556@33_8,142556@33,Michelle Kwan-Karen,,0.956,"{In,1991,"","",Michelle,Kwan,and,her,sister,Karen,began,training,with,Frank,Carroll,.}",3,2,8,1,1,"{NGRAM_1_[sister],num_words_between_bucket=0,people_between_bucket=0,BETW_[conj_and],BETW_D_[conj_and],BETW_L_[conj_and]}","{2.77679,-0.689348,-0.374931,0.365005,0.364122,0.363277}"
41016687@7_3-41016687@7_7,41016687@7,Robert I. Toll-Bruce E. Toll,,0.946,"{In,1967,"","",Toll,and,his,brother,Bruce,E.,Toll,founded,Toll,Brothers,with,a,focus,on,building,luxury,homes,-LRB-,$,""500,000"",+,-RRB-,starting,with,a,plot,of,land,in,Chester,County,"","",Pennsylvania,given,to,them,by,their,father,.}",3,1,7,3,3,"{NGRAM_1_[brother],num_words_between_bucket=0,people_between_bucket=0,BETW_[conj_and],BETW_D_[conj_and],BETW_L_[conj_and]}","{3.54997,-0.689348,-0.374931,0.365005,0.364122,0.363277}"
881878@22_9-881878@22_12,881878@22,Greg Hemphill-Steve,,0.916,"{In,series,three,of,``,Still,Game,'',"","",Hemphill,'s,brother,Steve,stars,as,a,CN,Tower,lift,operative,.}",9,1,12,1,1,"{NGRAM_1_[brother],num_words_between_bucket=0,""NGRAM_2_['s brother]"",people_between_bucket=0,BETW_D_[poss],BETW_L_[poss]}","{3.54997,-0.689348,0.377358,-0.374931,0.205387,0.204318}"
21279555@21_0-21279555@21_3,21279555@21,Egon Christophersen-Viggo,,0.906,"{Egon,'s,brother,Viggo,"","",who,had,also,joined,the,Waffen,SS,"","",was,killed,during,this,time,.}",0,1,3,1,1,"{NGRAM_1_[brother],num_words_between_bucket=0,""NGRAM_2_['s brother]"",people_between_bucket=0,BETW_D_[poss],BETW_L_[poss]}","{3.54997,-0.689348,0.377358,-0.374931,0.205387,0.204318}"
20579796@4_0-20579796@4_7,20579796@4,Roger Lutz-J rgen Lutz,,0.91,"{Lutz,"","",as,well,as,his,brother,J,rgen,Lutz,"","",interrupted,his,professional,career,in,favor,of,his,studies,and,thus,gave,up,voluntarily,on,his,best,years,as,a,professional,to,obtain,a,diploma,in,civil,engineering,-LRB-,playing,as,an,amateur,during,the,time,-RRB-,.}",0,1,7,3,3,"{NGRAM_1_[brother],num_words_between_bucket=1,people_between_bucket=0,BETW_[conj_and],BETW_D_[conj_and],BETW_L_[conj_and]}","{3.54997,-0.867132,-0.374931,0.365005,0.364122,0.363277}"
18871482@6_0-18871482@6_4,18871482@6,Halyna Pundyk-Dmytro,,0.92,"{Halyna,'s,brother,"","",Dmytro,"","",is,also,a,high,performance,fencer,.}",0,1,4,1,1,"{NGRAM_1_[brother],num_words_between_bucket=0,""BETW_L_[poss appos]"",""NGRAM_2_['s brother]"",people_between_bucket=0,""BETW_D_[poss brother appos]""}","{3.54997,-0.689348,0.420776,0.377358,-0.374931,0.223824}"
21301673@2_9-21301673@2_14,21301673@2,Ellsworth Woodward-William Woodward,,0.952,"{During,the,late,19th,Century,in,New,Orleans,"","",Ellsworth,and,his,older,brother,William,Woodward,were,two,of,the,most,influential,figures,in,Southern,art,.}",9,1,14,2,2,"{NGRAM_1_[brother],num_words_between_bucket=0,NGRAM_1_[older],people_between_bucket=0,BETW_[conj_and],BETW_D_[conj_and]}","{3.54997,-0.689348,0.624632,-0.374931,0.365005,0.364122}"
4063630@2_0-4063630@2_14,4063630@2,Nurul Abedin-Minhajul Abedin,,0.924,"{Nurul,Abedin,"","",more,commonly,known,as,Nobel,"","",was,the,elder,brother,of,Minhajul,Abedin,-LRB-,Nannu,-RRB-,.}",0,2,14,2,2,"{NGRAM_1_[brother],num_words_between_bucket=2,""BETW_L_[nsubj prep_of]"",people_between_bucket=0,""BETW_D_[nsubj brother prep_of]"",""BETW_[nsubj brother prep_of]""}","{3.54997,-1.08131,0.832732,-0.374931,0.315299,0.311596}"
38170408@10_0-38170408@10_7,38170408@10,Eugene Fechet-Edmond Gustav Fechet,,0.926,"{Eugene,was,the,brother,of,Lt,Colonel,Edmond,Gustav,Fechet,-LRB-,11,Jul,1844,16,Nov,1910,-RRB-,and,uncle,of,Major,General,James,Fechet,.}",0,1,7,3,3,"{NGRAM_1_[brother],num_words_between_bucket=1,""BETW_L_[nsubj prep_of]"",people_between_bucket=0,""BETW_D_[nsubj brother prep_of]"",""BETW_[nsubj brother prep_of]""}","{3.54997,-0.867132,0.832732,-0.374931,0.315299,0.311596}"
